LABEL,ABBR,CAP,LOC,POS,POS+1,POS-1,PREF,SUFF,WORD,WORD+1,WORD-1,TAG,TAG+1,TAG-1
B-PURCH,0,1,0,PROPN,PROPN,PHIPOS,0,0,Meridian,Energy,PHI,NNP,NNP,PHITAG
I-PURCH,0,1,0,PROPN,PROPN,PROPN,0,1,Energy,Inc,Meridian,NNP,NNP,NNP
I-PURCH,0,1,0,PROPN,CCONJ,PROPN,0,0,Inc,and,Energy,NNP,CC,NNP
-,0,0,0,CCONJ,PROPN,PROPN,0,0,and,CastoneDevelopment,Inc,CC,NNP,NNP
-,0,1,0,PROPN,PROPN,CCONJ,0,0,CastoneDevelopment,"Corp,",and,NNP,NNP,CC
-,0,1,0,PROPN,PUNCT,PROPN,0,0,"Corp,",a,CastoneDevelopment,NNP,",",NNP
-,0,0,0,PUNCT,DET,PROPN,0,0,a,privately-held,"Corp,",",",DT,NNP
-,0,0,0,DET,ADV,PUNCT,0,0,privately-held,"company,",a,DT,RB,","
-,0,0,0,ADV,PUNCT,DET,0,0,"company,",jointly,privately-held,RB,HYPH,DT
-,0,0,0,PUNCT,VERB,ADV,0,0,jointly,announcedthat,"company,",HYPH,VBN,RB
-,0,0,0,VERB,NOUN,PUNCT,0,0,announcedthat,they,jointly,VBN,NN,HYPH
-,0,0,0,NOUN,PUNCT,VERB,0,0,they,have,announcedthat,NN,",",VBN
-,0,0,0,PUNCT,ADV,NOUN,0,0,have,decided,they,",",RB,NN
-,0,0,0,ADV,ADP,PUNCT,0,0,decided,to,have,RB,IN,","
-,0,0,0,ADP,PRON,ADV,0,0,to,terminate,decided,IN,PRP,RB
B-STAT,0,0,0,PRON,AUX,ADP,0,0,terminate,the,to,PRP,VBP,IN
I-STAT,0,0,0,AUX,VERB,PRON,0,0,the,letter,terminate,VBP,VBN,PRP
I-STAT,0,0,0,VERB,PART,AUX,0,0,letter,of,the,VBN,TO,VBP
I-STAT,0,0,0,PART,VERB,VERB,0,0,of,intent,letter,TO,VB,VBN
I-STAT,0,0,0,VERB,DET,PART,0,0,intent,underwhich,of,VB,DT,TO
-,0,0,0,DET,NOUN,VERB,0,0,underwhich,Meridian,intent,DT,NN,VB
B-PURCH,0,1,0,NOUN,ADP,DET,0,0,Meridian,would,underwhich,NN,IN,DT
-,0,0,0,ADP,NOUN,NOUN,0,0,would,have,Meridian,IN,NN,NN
-,0,0,0,NOUN,ADJ,ADP,0,0,have,acquired,would,NN,JJ,IN
-,0,0,0,ADJ,PROPN,NOUN,0,0,acquired,Castone.,have,JJ,NNP,NN
-,0,1,0,PROPN,OMEGAPOS,ADJ,0,0,Castone.,OMEGA,acquired,NNP,OMEGATAG,JJ
B-PURCH,0,1,0,PROPN,PROPN,PHIPOS,0,0,Security,Pacific,PHI,NNP,NNP,PHITAG
I-PURCH,0,1,0,PROPN,PROPN,PROPN,0,1,Pacific,Corp,Security,NNP,NNP,NNP
I-PURCH,0,1,0,PROPN,PROPN,PROPN,0,0,Corp,andUsers,Pacific,NNP,NNP,NNP
-,0,0,0,PROPN,PROPN,PROPN,0,0,andUsers,"Inc,",Corp,NNP,NNP,NNP
-,0,1,0,PROPN,PUNCT,PROPN,0,0,"Inc,",a,andUsers,NNP,",",NNP
-,0,0,0,PUNCT,DET,PROPN,0,0,a,credit,"Inc,",",",DT,NNP
B-AQB,0,0,0,DET,NOUN,PUNCT,0,0,credit,union,a,DT,NN,","
I-AQB,0,0,0,NOUN,NOUN,DET,0,0,union,data,credit,NN,NN,DT
I-AQB,0,0,0,NOUN,NOUN,NOUN,0,0,data,processing,union,NN,NNS,NN
I-AQB,0,0,0,NOUN,NOUN,NOUN,0,0,processing,"concern,",data,NNS,NN,NN
-,0,0,0,NOUN,NOUN,NOUN,0,0,"concern,",said,processing,NN,NN,NNS
-,0,0,0,NOUN,PUNCT,NOUN,0,0,said,theyhave,"concern,",NN,",",NN
-,0,0,0,PUNCT,VERB,NOUN,0,0,theyhave,mutually,said,",",VBD,NN
-,0,0,0,VERB,PROPN,PUNCT,0,0,mutually,agreed,theyhave,VBD,NNP,","
B-STAT,0,0,0,PROPN,ADV,VERB,0,0,agreed,to,mutually,NNP,RB,VBD
I-STAT,0,0,0,ADV,VERB,PROPN,0,0,to,withdraw,agreed,RB,VBD,NNP
I-STAT,0,0,0,VERB,PART,ADV,0,0,withdraw,from,to,VBD,TO,RB
-,0,0,0,PART,VERB,VERB,0,0,from,further,withdraw,TO,VB,VBD
-,0,0,0,VERB,ADP,PART,0,0,further,mergernegotiations.,from,VB,IN,TO
-,0,0,0,ADP,OMEGAPOS,VERB,0,0,mergernegotiations.,OMEGA,further,IN,OMEGATAG,VB
B-AQ,0,1,0,NOUN,VERB,PHIPOS,0,0,Users,said,PHI,NNS,VBD,PHITAG
-,0,0,0,VERB,SCONJ,NOUN,0,0,said,that,Users,VBD,IN,NNS
-,0,0,0,SCONJ,SCONJ,VERB,0,0,that,since,said,IN,IN,VBD
-,0,0,0,SCONJ,PRON,SCONJ,0,0,since,it,that,IN,PRP,IN
-,0,0,0,PRON,VERB,SCONJ,0,0,it,signed,since,PRP,VBD,IN
-,0,0,0,VERB,DET,PRON,0,0,signed,a,it,VBD,DT,PRP
-,0,0,0,DET,NOUN,VERB,0,0,a,letter,signed,DT,NN,VBD
-,0,0,0,NOUN,ADP,DET,0,0,letter,of,a,NN,IN,DT
-,0,0,0,ADP,NOUN,NOUN,0,0,of,intent,letter,IN,NN,NN
-,0,0,0,NOUN,PART,ADP,0,0,intent,to,of,NN,TO,IN
I-STAT,0,0,0,PART,VERB,NOUN,0,0,to,mergewith,intent,TO,VB,NN
-,0,0,0,VERB,PROPN,PART,0,0,mergewith,Security,to,VB,NNP,TO
B-PURCH,0,1,0,PROPN,ADP,VERB,0,0,Security,in,mergewith,NNP,IN,VB
-,0,0,0,ADP,PROPN,PROPN,0,0,in,"November,",Security,IN,NNP,NNP
-,0,1,0,PROPN,PUNCT,ADP,0,0,"November,",it,in,NNP,",",IN
-,0,0,0,PUNCT,PRON,PROPN,0,0,it,has,"November,",",",PRP,NNP
-,0,0,0,PRON,AUX,PUNCT,0,0,has,received,it,PRP,VBZ,","
-,0,0,0,AUX,VERB,PRON,0,0,received,a,has,VBZ,VBN,PRP
-,0,0,0,VERB,DET,AUX,0,0,a,strong,received,VBN,DT,VBZ
-,0,0,0,DET,ADJ,VERB,0,0,strong,show,a,DT,JJ,VBN
-,0,0,0,ADJ,NOUN,DET,0,0,show,ofsupport,strong,JJ,NN,DT
-,0,0,0,NOUN,NOUN,ADJ,0,0,ofsupport,for,show,NN,NN,JJ
-,0,0,0,NOUN,ADP,NOUN,0,0,for,continuing,ofsupport,NN,IN,NN
-,0,0,0,ADP,VERB,NOUN,0,0,continuing,the,for,IN,VBG,NN
-,0,0,0,VERB,DET,ADP,0,0,the,credit,continuing,VBG,DT,IN
B-AQB,0,0,0,DET,NOUN,VERB,0,0,credit,union,the,DT,NN,VBG
I-AQB,0,0,0,NOUN,NOUN,DET,0,0,union,ownership,credit,NN,NN,DT
-,0,0,0,NOUN,NOUN,NOUN,0,0,ownership,of,union,NN,NN,NN
-,0,0,0,NOUN,ADP,NOUN,0,0,of,thecompany,ownership,NN,IN,NN
-,0,0,0,ADP,DET,NOUN,0,0,thecompany,with,of,IN,DT,NN
-,0,0,0,DET,ADP,ADP,0,0,with,credit,thecompany,DT,IN,IN
B-AQB,0,0,0,ADP,NOUN,DET,0,0,credit,unions,with,IN,NN,DT
-,0,0,0,NOUN,NOUN,ADP,0,0,unions,committing,credit,NN,NNS,IN
-,0,0,0,NOUN,VERB,NOUN,0,0,committing,themselves,unions,NNS,VBG,NN
-,0,0,0,VERB,PRON,NOUN,0,0,themselves,to,committing,VBG,PRP,NNS
I-STAT,0,0,0,PRON,ADP,VERB,0,0,to,purchaseadditional,themselves,PRP,IN,VBG
-,0,0,0,ADP,ADJ,PRON,0,0,purchaseadditional,Users,to,IN,JJ,PRP
B-AQ,0,1,0,ADJ,NOUN,ADP,0,0,Users,common.,purchaseadditional,JJ,NNS,IN
-,0,0,0,NOUN,OMEGAPOS,ADJ,0,0,common.,OMEGA,Users,NNS,OMEGATAG,JJ
B-AQ,0,1,0,NOUN,ADV,PHIPOS,0,0,Users,also,PHI,NNS,RB,PHITAG
-,0,0,0,ADV,VERB,NOUN,0,0,also,said,Users,RB,VBD,NNS
-,0,0,0,VERB,PRON,ADV,0,0,said,it,also,VBD,PRP,RB
-,0,0,0,PRON,AUX,VERB,0,0,it,is,said,PRP,VBZ,VBD
